item_name,quantity_type,quantity,base_cost,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,USD,EUR,GBP,INR,CNY,BRL,JPY,AUD,CAD,SGD,AED,SAR
Ragi,g,100,5.44,320.75,7.16,1.92,62.47,11.18,0.34,4.75,0.06,0.05,0.04,5.44,0.39,0.29,8.98,0.08,0.08,0.07,0.21,0.22
Raisins,g,100,40,301.15,2.67,0.34,60.48,4.24,59.31,10.57,0.42,0.36,0.31,40,2.88,2.1,65.98,0.59,0.58,0.54,1.55,1.58
Rajmah,g,100,14,298.28,19.47,1.69,40.28,17.09,1.94,10.11,0.15,0.13,0.11,14,1.01,0.73,23.09,0.21,0.2,0.19,0.54,0.55
Rambutan,unit,1,12,73.14,0.68,0.16,15.8,1.02,15.8,1.75,0.13,0.11,0.09,12,0.86,0.63,19.79,0.18,0.17,0.16,0.46,0.47
Rani,g,100,30,90.11,18.83,1.49,0,0,0,63.17,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Ray fish,g,100,30,83.41,19.03,0.7,0,0,0,105,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Red gram,g,100,12.22,242.99,16.75,1.29,35.15,12.6,1.31,13.19,0.13,0.11,0.1,12.22,0.88,0.64,20.15,0.18,0.18,0.16,0.47,0.48
Red snapper,g,100,30,106.12,22.14,1.82,0,0,0,49.43,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Rice,g,100,6,355.45,7.96,1.01,72.7,3.4,0.61,3.08,0.06,0.05,0.05,6,0.43,0.31,9.9,0.09,0.09,0.08,0.23,0.24
Rice bran oil,ml,100,16,0,0,100,0,0,0,0,0.17,0.14,0.12,16,1.15,0.84,26.39,0.24,0.23,0.22,0.62,0.63
Ricebean,g,100,10,302.34,19.97,0.74,45.38,13.37,1.33,10.62,0.11,0.09,0.08,10,0.72,0.52,16.5,0.15,0.14,0.13,0.39,0.4
Ridge gourd,g,100,2,14.22,0.95,0.14,1.29,1.83,0.52,5.49,0.02,0.02,0.02,2,0.14,0.1,3.3,0.03,0.03,0.03,0.08,0.08
Rohu,g,100,23,102.29,19.71,2.39,0,0,0,35.56,0.24,0.21,0.18,23,1.65,1.21,37.94,0.34,0.33,0.31,0.89,0.91
Rumex leaves,g,100,4,19.6,1.62,0.33,1.55,1.27,0.45,19.95,0.04,0.04,0.03,4,0.29,0.21,6.6,0.06,0.06,0.05,0.15,0.16
Sadaya,g,100,30,110.42,20.68,2.97,0,0,0,49.41,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Safflower oil,ml,100,18.5,0,0,100.01,0,0,0,0,0.19,0.17,0.14,18.5,1.33,0.97,30.52,0.27,0.27,0.25,0.72,0.73
Safflower oil (blended),ml,100,18.5,0,0,100,0,0,0,0,0.19,0.17,0.14,18.5,1.33,0.97,30.52,0.27,0.27,0.25,0.72,0.73
Safflower seeds,g,100,20,473.47,17.66,30.87,28.15,13.49,2.67,3.05,0.21,0.18,0.16,20,1.44,1.05,32.99,0.29,0.29,0.27,0.77,0.79
Salmon,g,100,30,172.32,20.97,9.86,0,0,0,20.25,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Samai,g,100,8,346.32,10.13,3.89,56.43,7.72,0.37,4.77,0.08,0.07,0.06,8,0.58,0.42,13.2,0.12,0.12,0.11,0.31,0.32
Sangada,g,100,30,105.88,20.26,2.67,0,0,0,77.82,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Sankata parai,g,100,30,103.73,21.87,1.68,0,0,0,22.33,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Sapota,unit,1,7,73.37,0.92,1.26,12.3,9.6,12.3,4.61,0.07,0.06,0.05,7,0.5,0.37,11.55,0.1,0.1,0.09,0.27,0.28
Sardine,g,100,30,152.25,17.91,8.99,0,0,0,38.49,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Shark,g,100,30,96.72,21.98,0.79,0,0,0,82.73,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Sheep,g,100,80,127.48,17.54,6.35,0,0,0,83.33,0.84,0.72,0.62,80,5.76,4.2,131.96,1.18,1.15,1.08,3.1,3.16
Shelavu,g,100,30,106.6,22.46,1.74,0,0,0,38.73,0.32,0.27,0.23,30,2.16,1.57,49.49,0.44,0.43,0.4,1.16,1.19
Shiitake mushroom,g,100,80,58.08,3.19,0.76,4.51,3.02,0.2,9.3,0.84,0.72,0.62,80,5.76,4.2,131.96,1.18,1.15,1.08,3.1,3.16
